date,observed [m3/s],HYMOD [m3/s]
1954-01-01,,0
1954-01-02,5.78,0
1954-01-03,5.66,0
1954-01-04,5.61,0
1954-01-05,5.44,0
1954-01-06,5.38,0
1954-01-07,5.3,0
1954-01-08,5.18,0
1954-01-09,5.1,0
1954-01-10,5.07,0
1954-01-11,4.98,0
1954-01-12,4.93,0
1954-01-13,4.87,0
1954-01-14,4.81,0
1954-01-15,4.79,0
1954-01-16,4.76,0
1954-01-17,4.76,0
1954-01-18,4.73,0
1954-01-19,4.73,0
1954-01-20,4.73,0
1954-01-21,4.73,0
1954-01-22,4.7,0
1954-01-23,4.7,0
1954-01-24,4.7,0
1954-01-25,4.73,0
1954-01-26,4.76,0
1954-01-27,4.79,0
1954-01-28,4.79,0
1954-01-29,4.79,0
1954-01-30,4.81,0
1954-01-31,4.81,0
1954-02-01,4.81,0
1954-02-02,4.81,8.59475e-05
1954-02-03,4.84,0.00233351
1954-02-04,4.87,0.0157403
1954-02-05,4.9,0.0507742
1954-02-06,4.93,0.105109
1954-02-07,4.96,0.1681
1954-02-08,5.01,0.233196
1954-02-09,5.07,0.296127
1954-02-10,5.13,0.352496
1954-02-11,5.18,0.399676
1954-02-12,5.24,0.436683
1954-02-13,5.32,0.463585
1954-02-14,5.44,0.481083
1954-02-15,5.52,0.490224
1954-02-16,5.66,0.492205
1954-02-17,5.75,0.488244
1954-02-18,5.8,0.479508
1954-02-19,5.95,0.467057
1954-02-20,6.09,0.451833
1954-02-21,6.23,0.434642
1954-02-22,6.31,0.416163
1954-02-23,6.46,0.397189
1954-02-24,6.57,0.379208
1954-02-25,6.74,0.363422
1954-02-26,6.94,0.349583
1954-02-27,7.08,0.33687
1954-02-28,7.16,0.324691
1954-03-01,7.22,0.312715
1954-03-02,7.36,0.300783
1954-03-03,7.45,0.288844
1954-03-04,7.53,0.276912
1954-03-05,7.62,0.265039
1954-03-06,7.7,0.25329
1954-03-07,7.79,0.241737
1954-03-08,7.84,0.230445
1954-03-09,7.93,0.21947
1954-03-10,7.93,0.211009
1954-03-11,7.99,0.213557
1954-03-12,8.07,0.230582
1954-03-13,8.1,0.255521
1954-03-14,8.13,0.282577
1954-03-15,8.13,0.308942
1954-03-16,8.13,0.33291
1954-03-17,8.07,0.352835
1954-03-18,7.99,0.367843
1954-03-19,7.87,0.377744
1954-03-20,7.79,0.382777
1954-03-21,7.65,0.38342
1954-03-22,7.45,0.380274
1954-03-23,7.28,0.373978
1954-03-24,7.11,0.36587
1954-03-25,6.85,0.359348
1954-03-26,6.8,0.356075
1954-03-27,6.71,0.354308
1954-03-28,6.57,0.352418
1954-03-29,6.51,0.349494
1954-03-30,6.43,0.345103
1954-03-31,6.31,0.339124
1954-04-01,6.23,0.331629
1954-04-02,6.17,0.322797
1954-04-03,6.14,0.312865
1954-04-04,6.12,0.302082
1954-04-05,6.06,0.290692
1954-04-06,6.03,0.278837
1954-04-07,6,0.266715
1954-04-08,6,0.254693
1954-04-09,5.97,0.243738
1954-04-10,5.95,0.237082
1954-04-11,5.97,0.236168
1954-04-12,6.06,0.241399
1954-04-13,6.12,0.262774
1954-04-14,6.29,0.307867
1954-04-15,6.46,0.369259
1954-04-16,6.57,0.435372
1954-04-17,6.74,0.497916
1954-04-18,6.97,0.552138
1954-04-19,7.14,0.595746
1954-04-20,7.36,0.62807
1954-04-21,7.65,0.649786
1954-04-22,8.07,0.664525
1954-04-23,8.35,0.680515
1954-04-24,8.92,0.703709
1954-04-25,9.34,0.731492
1954-04-26,10.1,0.758005
1954-04-27,10.8,0.779311
1954-04-28,11.5,0.793496
1954-04-29,11.8,0.799937
1954-04-30,11.6,0.798837
1954-05-01,11.3,0.790892
1954-05-02,11.9,0.777044
1954-05-03,12.6,0.762578
1954-05-04,17.3,0.773254
1954-05-05,31.7,0.85954
1954-05-06,35.4,1.07034
1954-05-07,33.4,1.40982
1954-05-08,40.5,1.85415
1954-05-09,55.8,2.39683
1954-05-10,101,3.0143
1954-05-11,126,3.64594
1954-05-12,142,4.24352
1954-05-13,152,4.79979
1954-05-14,198,5.33164
1954-05-15,253,5.83646
1954-05-16,231,6.28423
1954-05-17,206,6.65371
1954-05-18,206,6.9354
1954-05-19,214,7.12344
1954-05-20,198,7.21958
1954-05-21,182,7.23147
1954-05-22,169,7.16983
1954-05-23,158,7.04659
1954-05-24,148,6.87376
1954-05-25,140,6.66931
1954-05-26,135,6.47964
1954-05-27,134,6.36645
1954-05-28,124,6.34864
1954-05-29,122,6.39095
1954-05-30,116,6.44782
1954-05-31,112,6.49307
1954-06-01,110,6.52404
1954-06-02,118,6.56045
1954-06-03,114,6.60576
1954-06-04,107,6.63816
1954-06-05,101,6.65233
1954-06-06,96,6.66882
1954-06-07,97.7,6.69417
1954-06-08,89.5,6.70809
1954-06-09,85.5,6.69353
1954-06-10,75.6,6.6426
1954-06-11,67.4,6.55441
1954-06-12,62,6.43383
1954-06-13,59.2,6.29143
1954-06-14,56.1,6.15377
1954-06-15,58.3,6.04973
1954-06-16,56.1,6.01173
1954-06-17,69.4,6.07817
1954-06-18,67.7,6.24239
1954-06-19,64,6.45385
1954-06-20,61.7,6.67583
1954-06-21,61.7,6.91974
1954-06-22,67.7,7.20426
1954-06-23,69.7,7.50719
1954-06-24,69.4,7.78823
1954-06-25,65.7,8.01549
1954-06-26,62,8.17006
1954-06-27,60.6,8.25436
1954-06-28,57.8,8.31514
1954-06-29,60.6,8.41329
1954-06-30,73.6,8.55509
1954-07-01,68.5,8.70617
1954-07-02,62.6,8.84323
1954-07-03,58.9,8.9816
1954-07-04,51,9.17963
1954-07-05,51.5,9.45604
1954-07-06,50.1,9.78166
1954-07-07,48.7,10.127
1954-07-08,48.4,10.4477
1954-07-09,44.5,10.7089
1954-07-10,41.3,10.8927
1954-07-11,36.8,10.9953
1954-07-12,33.7,11.0397
1954-07-13,31.4,11.0405
1954-07-14,28.9,10.9883
1954-07-15,26.7,10.8761
1954-07-16,24.7,10.7039
1954-07-17,24.1,10.4768
1954-07-18,22.9,10.211
1954-07-19,22.3,9.93976
1954-07-20,21.4,9.70116
1954-07-21,20.6,9.50705
1954-07-22,20.2,9.33989
1954-07-23,20.6,9.19024
1954-07-24,20.6,9.08637
1954-07-25,20.2,9.03447
1954-07-26,19.9,8.99716
1954-07-27,18.9,8.98351
1954-07-28,19.7,9.13031
1954-07-29,20.6,9.53051
1954-07-30,21.4,10.1029
1954-07-31,23.3,10.7223
1954-08-01,23.3,11.2914
1954-08-02,24.5,11.7533
1954-08-03,23.5,12.087
1954-08-04,24.5,12.3093
1954-08-05,23.4,12.4603
1954-08-06,22.3,12.5797
1954-08-07,20.6,12.6762
1954-08-08,18,12.7307
1954-08-09,18.2,12.7635
1954-08-10,18.2,12.8998
1954-08-11,22.3,13.2926
1954-08-12,21.6,13.9365
1954-08-13,23.5,14.6993
1954-08-14,24.3,15.4525
1954-08-15,24.9,16.1099
1954-08-16,25.5,16.6554
1954-08-17,24.7,17.1031
1954-08-18,25.3,17.4668
1954-08-19,25.3,17.8282
1954-08-20,24.9,18.2332
1954-08-21,25.3,18.6291
1954-08-22,24.9,18.9608
1954-08-23,24.9,19.1822
1954-08-24,24.3,19.2665
1954-08-25,21.7,19.2054
1954-08-26,21.2,19.01
1954-08-27,21.1,18.7057
1954-08-28,20.7,18.3124
1954-08-29,19.9,17.841
1954-08-30,19.9,17.3042
1954-08-31,18.3,16.728
1954-09-01,16.7,16.1773
1954-09-02,16.6,15.7007
1954-09-03,16.6,15.2817
1954-09-04,16.1,14.8999
1954-09-05,16,14.5662
1954-09-06,16,14.2751
1954-09-07,16,13.9956
1954-09-08,16.3,13.7146
1954-09-09,15.9,13.4439
1954-09-10,16.3,13.2083
1954-09-11,14.9,13.0052
1954-09-12,14.6,12.8324
1954-09-13,19.2,12.8341
1954-09-14,40.8,13.2486
1954-09-15,58.3,14.0768
1954-09-16,72.2,15.1123
1954-09-17,58.9,16.1734
1954-09-18,46.4,17.1376
1954-09-19,40.5,17.9843
1954-09-20,34.5,18.7271
1954-09-21,28.3,19.3363
1954-09-22,26.7,19.7706
1954-09-23,26.1,20.0208
1954-09-24,26.1,20.1588
1954-09-25,34.5,20.3231
1954-09-26,37.9,20.5686
1954-09-27,40.2,20.8343
1954-09-28,39.9,21.0592
1954-09-29,39.9,21.2276
1954-09-30,36.5,21.3226
1954-10-01,36.5,21.314
1954-10-02,33.4,21.2138
1954-10-03,31.7,21.0678
1954-10-04,31.1,20.8841
1954-10-05,28.6,20.6336
1954-10-06,27.8,20.2986
1954-10-07,25.3,19.8851
1954-10-08,25.3,19.4403
1954-10-09,25.3,19.0238
1954-10-10,25.7,18.6619
1954-10-11,25.3,18.3664
1954-10-12,27.2,18.1774
1954-10-13,26.8,18.0924
1954-10-14,26.4,18.0436
1954-10-15,26.1,18.0128
1954-10-16,31.1,18.0693
1954-10-17,44.2,18.2551
1954-10-18,48.7,18.5033
1954-10-19,44.2,18.7183
1954-10-20,44.2,18.8466
1954-10-21,44.2,18.883
1954-10-22,42.8,18.8384
1954-10-23,36.5,18.7085
1954-10-24,36.5,18.4838
1954-10-25,31.7,18.1646
1954-10-26,27.9,17.7647
1954-10-27,27.9,17.3313
1954-10-28,27.4,16.9348
1954-10-29,27,16.5919
1954-10-30,26.5,16.2677
1954-10-31,26.5,15.9357
1954-11-01,26.1,15.5787
1954-11-02,24.5,15.1878
1954-11-03,24.5,14.7636
1954-11-04,24.5,14.3352
1954-11-05,25.3,14.0121
1954-11-06,36.2,13.9246
1954-11-07,45.6,14.078
1954-11-08,45.6,14.3615
1954-11-09,47,14.6643
1954-11-10,48.1,14.9317
1954-11-11,51.5,15.1445
1954-11-12,48.1,15.2825
1954-11-13,44.2,15.3338
1954-11-14,42.5,15.3303
1954-11-15,51.8,15.3776
1954-11-16,65.4,15.5475
1954-11-17,69.7,15.8076
1954-11-18,69.7,16.1068
1954-11-19,71.4,16.4185
1954-11-20,73.1,16.7396
1954-11-21,83.8,17.0956
1954-11-22,95.7,17.5381
1954-11-23,104,18.0484
1954-11-24,106,18.5289
1954-11-25,99.7,18.9081
1954-11-26,105,19.1879
1954-11-27,105,19.3931
1954-11-28,95.7,19.5088
1954-11-29,86.1,19.5066
1954-11-30,81.6,19.3758
1954-12-01,73.1,19.1203
1954-12-02,57.8,18.7517
1954-12-03,47.6,18.2867
1954-12-04,34,17.7447
1954-12-05,38.8,17.1441
1954-12-06,40.2,16.521
1954-12-07,40.2,15.9675
1954-12-08,40.2,15.5274
1954-12-09,30,15.1521
1954-12-10,27.9,14.7964
1954-12-11,25.3,14.434
1954-12-12,27.4,14.0506
1954-12-13,27.4,13.6424
1954-12-14,24.7,13.2106
1954-12-15,25.3,12.7576
1954-12-16,25.3,12.2876
1954-12-17,24.5,11.8074
1954-12-18,23.7,11.3238
1954-12-19,21.6,10.8413
1954-12-20,21.6,10.3638
1954-12-21,23.3,9.89835
1954-12-22,26.1,9.4839
1954-12-23,24.5,9.21745
1954-12-24,22.5,9.12634
1954-12-25,22.5,9.13306
1954-12-26,20,9.16931
1954-12-27,20,9.19329
1954-12-28,21.7,9.18168
1954-12-29,21.7,9.12473
1954-12-30,21.1,9.02001
1954-12-31,20.6,8.86915
1955-01-01,20.4,8.67741
1955-01-02,20.4,8.45132
1955-01-03,20.4,8.19783
1955-01-04,20.4,7.92371
1955-01-05,20.4,7.63434
1955-01-06,20.4,7.3354
1955-01-07,20.4,7.0335
1955-01-08,20.4,6.73304
1955-01-09,20.4,6.43632
1955-01-10,20.4,6.1453
1955-01-11,20.4,5.86203
1955-01-12,20.4,5.5883
1955-01-13,20.4,5.32495
1955-01-14,20.4,5.07235
1955-01-15,20.4,4.83002
1955-01-16,20.4,4.59891
1955-01-17,20.4,4.38014
1955-01-18,20.4,4.1727
1955-01-19,20.4,3.97585
1955-01-20,20.4,3.78924
1955-01-21,20.4,3.61234
1955-01-22,20.4,3.44418
1955-01-23,20.4,3.28549
1955-01-24,20.4,3.13631
1955-01-25,20.4,2.99513
1955-01-26,20.4,2.86087
1955-01-27,20.3,2.73331
1955-01-28,20.1,2.61281
1955-01-29,19.9,2.49872
1955-01-30,19.8,2.39036
1955-01-31,19.8,2.28737
1955-02-01,19.5,2.18942
1955-02-02,19.3,2.09622
1955-02-03,19.2,2.00747
1955-02-04,18.7,1.9229
1955-02-05,18.7,1.85821
1955-02-06,18.5,1.87485
1955-02-07,18.2,1.99921
1955-02-08,18.1,2.18336
1955-02-09,17.8,2.38137
1955-02-10,17.6,2.56583
1955-02-11,17.4,2.72138
1955-02-12,17.3,2.84078
1955-02-13,17,2.92209
1955-02-14,16.7,2.96672
1955-02-15,16.4,2.97798
1955-02-16,16.1,2.97085
1955-02-17,15.9,2.99185
1955-02-18,15.8,3.06263
1955-02-19,15.6,3.15499
1955-02-20,15.3,3.24299
1955-02-21,15.2,3.31316
1955-02-22,15,3.37219
1955-02-23,14.7,3.45718
1955-02-24,14.7,3.57973
1955-02-25,14.4,3.70923
1955-02-26,14.3,3.82131
1955-02-27,14.2,3.90293
1955-02-28,14.1,3.94864
1955-03-01,13.9,3.95783
1955-03-02,13.6,3.93286
1955-03-03,13.5,3.87772
1955-03-04,13.3,3.79715
1955-03-05,13.2,3.69605
1955-03-06,13,3.57914
1955-03-07,12.7,3.45073
1955-03-08,12.7,3.31459
1955-03-09,12.7,3.17398
1955-03-10,12.7,3.04461
1955-03-11,12.7,2.97998
1955-03-12,12.7,3.00268
1955-03-13,12.7,3.07416
1955-03-14,12.7,3.15886
1955-03-15,12.7,3.2352
1955-03-16,12.9,3.29117
1955-03-17,13,3.3212
1955-03-18,13,3.32393
1955-03-19,13.1,3.30058
1955-03-20,13.2,3.25387
