date,observed [m3/s],run_shifted [m3/s],run_biased [m3/s]
2000-01-01,1.8601,1.8601,3.3601
2000-01-02,1.7238,1.8601,3.2238
2000-01-03,2.1272,1.8601,3.6272
2000-01-04,1.6690,1.8601,3.1690
2000-01-05,2.0454,1.7238,3.5454
2000-01-06,1.9161,2.1272,3.4161
2000-01-07,1.6781,1.6690,3.1781
2000-01-08,2.0471,2.0454,3.5471
2000-01-09,1.6824,1.9161,3.1824
2000-01-10,2.0139,1.6781,3.5139
2000-01-11,1.7449,2.0471,3.2449
2000-01-12,1.8008,1.6824,3.3008
2000-01-13,2.1440,2.0139,3.6440
2000-01-14,2.6122,1.7449,4.1122
2000-01-15,2.3107,1.8008,3.8107
2000-01-16,2.8078,2.1440,4.3078
2000-01-17,3.7169,2.6122,5.2169
2000-01-18,4.6779,2.3107,6.1779
2000-01-19,5.0830,2.8078,6.5830
2000-01-20,5.4699,3.7169,6.9699
2000-01-21,6.1468,4.6779,7.6468
2000-01-22,5.2392,5.0830,6.7392
2000-01-23,5.4067,5.4699,6.9067
2000-01-24,4.2993,6.1468,5.7993
2000-01-25,3.5276,5.2392,5.0276
2000-01-26,2.9698,5.4067,4.4698
2000-01-27,2.7539,4.2993,4.2539
2000-01-28,2.9481,3.5276,4.4481
2000-01-29,2.3424,2.9698,3.8424
2000-01-30,2.6358,2.7539,4.1358
2000-01-31,2.6911,2.9481,4.1911
2000-02-01,2.5043,2.3424,4.0043
2000-02-02,2.6784,2.6358,4.1784
2000-02-03,2.3273,2.6911,3.8273
2000-02-04,2.3633,2.5043,3.8633
2000-02-05,2.5201,2.6784,4.0201
2000-02-06,2.9404,2.3273,4.4404
2000-02-07,2.7798,2.3633,4.2798
2000-02-08,2.7317,2.5201,4.2317
2000-02-09,2.9923,2.9404,4.4923
2000-02-10,2.9309,2.7798,4.4309
2000-02-11,2.8535,2.7317,4.3535
2000-02-12,3.2954,2.9923,4.7954
2000-02-13,3.2661,2.9309,4.7661
2000-02-14,2.9502,2.8535,4.4502
2000-02-15,3.2632,3.2954,4.7632
2000-02-16,3.2735,3.2661,4.7735
2000-02-17,3.6038,2.9502,5.1038
2000-02-18,3.5385,3.2632,5.0385
2000-02-19,3.2373,3.2735,4.7373
2000-02-20,3.8439,3.6038,5.3439
2000-02-21,3.2077,3.5385,4.7077
2000-02-22,3.5020,3.2373,5.0020
2000-02-23,3.8282,3.8439,5.3282
2000-02-24,3.3998,3.2077,4.8998
2000-02-25,3.7257,3.5020,5.2257
2000-02-26,3.4230,3.8282,4.9230
2000-02-27,3.9839,3.3998,5.4839
2000-02-28,4.1193,3.7257,5.6193
2000-02-29,4.0250,3.4230,5.5250
2000-03-01,4.3265,3.9839,5.8265
2000-03-02,3.9373,4.1193,5.4373
2000-03-03,4.3032,4.0250,5.8032
2000-03-04,4.2837,4.3265,5.7837
2000-03-05,4.3339,3.9373,5.8339
2000-03-06,4.2973,4.3032,5.7973
2000-03-07,4.6671,4.2837,6.1671
2000-03-08,4.8141,4.3339,6.3141
2000-03-09,4.5013,4.2973,6.0013
2000-03-10,4.7175,4.6671,6.2175
2000-03-11,4.2993,4.8141,5.7993
2000-03-12,4.8770,4.5013,6.3770
2000-03-13,4.8988,4.7175,6.3988
2000-03-14,5.2413,4.2993,6.7413
2000-03-15,5.1704,4.8770,6.6704
2000-03-16,4.8069,4.8988,6.3069
2000-03-17,4.9546,5.2413,6.4546
2000-03-18,5.2478,5.1704,6.7478
2000-03-19,4.7982,4.8069,6.2982
2000-03-20,5.2170,4.9546,6.7170
2000-03-21,5.0497,5.2478,6.5497
2000-03-22,5.0769,4.7982,6.5769
2000-03-23,5.0984,5.2170,6.5984
2000-03-24,5.7341,5.0497,7.2341
2000-03-25,5.2913,5.0769,6.7913
2000-03-26,5.4545,5.0984,6.9545
2000-03-27,5.6377,5.7341,7.1377
2000-03-28,6.0908,5.2913,7.5908
2000-03-29,5.5269,5.4545,7.0269
2000-03-30,5.8905,5.6377,7.3905
2000-03-31,6.0396,6.0908,7.5396
2000-04-01,6.3755,5.5269,7.8755
2000-04-02,6.3930,5.8905,7.8930
2000-04-03,6.4975,6.0396,7.9975
2000-04-04,6.0978,6.3755,7.5978
2000-04-05,6.2759,6.3930,7.7759
2000-04-06,6.2992,6.4975,7.7992
2000-04-07,6.7879,6.0978,8.2879
2000-04-08,6.9152,6.2759,8.4152
2000-04-09,6.3387,6.2992,7.8387
2000-04-10,6.4299,6.7879,7.9299
2000-04-11,6.5515,6.9152,8.0515
2000-04-12,6.6454,6.3387,8.1454
2000-04-13,6.9750,6.4299,8.4750
2000-04-14,7.2554,6.5515,8.7554
2000-04-15,7.3046,6.6454,8.8046
2000-04-16,7.5631,6.9750,9.0631
2000-04-17,8.5272,7.2554,10.0272
2000-04-18,9.2371,7.3046,10.7371
2000-04-19,10.1399,7.5631,11.6399
2000-04-20,11.0225,8.5272,12.5225
2000-04-21,11.0662,9.2371,12.5662
2000-04-22,10.8012,10.1399,12.3012
2000-04-23,10.4383,11.0225,11.9383
2000-04-24,9.8687,11.0662,11.3687
2000-04-25,8.7498,10.8012,10.2498
2000-04-26,8.9224,10.4383,10.4224
2000-04-27,8.4894,9.8687,9.9894
2000-04-28,8.3827,8.7498,9.8827
2000-04-29,8.2520,8.9224,9.7520
2000-04-30,7.9267,8.4894,9.4267
2000-05-01,7.9661,8.3827,9.4661
2000-05-02,7.7794,8.2520,9.2794
2000-05-03,8.2593,7.9267,9.7593
2000-05-04,7.8585,7.9661,9.3585
2000-05-05,7.9194,7.7794,9.4194
2000-05-06,8.0888,8.2593,9.5888
2000-05-07,8.1073,7.8585,9.6073
2000-05-08,8.3045,7.9194,9.8045
